,0
F2S4_160119_006_D01,2103442
F2S4_160119_006_E01,1711669
F2S4_160119_006_F01,1676738
F2S4_160119_006_G01,1751673
F2S4_160119_006_H01,1720596
F2S4_160120_001_A01,1563103
F2S4_160120_001_B01,1813713
F2S4_160120_001_C01,1804666
F2S4_160120_001_D01,1278559
F2S4_160120_001_E01,1516012
F2S4_160120_001_F01,1061010
F2S4_160120_001_G01,1499938
F2S4_160120_001_H01,1349723
F2S4_160120_002_A01,1540614
F2S4_160120_002_B01,1437885
F2S4_160120_002_C01,1360175
F2S4_160120_002_D01,1392547
F2S4_160120_002_E01,636921
F2S4_160120_002_F01,1537371
F2S4_160120_002_G01,1367331
F2S4_160120_002_H01,1290266
F2S4_160120_006_B01,1873974
F2S4_160120_006_C01,1248751
F2S4_160120_006_D01,1556107
F2S4_160120_006_E01,1311633
F2S4_160120_006_F01,1019346
F2S4_160120_006_G01,594201
F2S4_160120_006_H01,1120745
F2S4_160120_007_A01,770380
F2S4_160120_007_B01,1167773
F2S4_160120_007_C01,1440999
F2S4_160120_007_D01,1590758
F2S4_160120_007_E01,1466115
F2S4_160120_007_F01,931329
F2S4_160120_007_G01,1421243
F2S4_160120_007_H01,1370655
F2S4_160120_011_A01,1514930
F2S4_160120_011_B01,1100967
F2S4_160120_011_C01,1416990
F2S4_160120_011_D01,1589341
F2S4_160120_011_E01,1586605
F2S4_160120_011_F01,1788595
F2S4_160120_011_G01,1701171
F2S4_160120_011_H01,1528884
F2S4_160120_012_A01,1360154
F2S4_160120_012_B01,1096188
F2S4_160120_012_C01,1442829
F2S4_160120_012_D01,1777154
F2S4_160120_012_E01,1674349
F2S4_160120_012_F01,1668276
F2S4_160120_012_G01,1511397
F2S4_160120_012_H01,1399847
F2S4_160120_017_A01,837927
F2S4_160120_017_B01,1556639
F2S4_160120_017_C01,1490625
F2S4_160120_017_D01,1663229
F2S4_160120_017_E01,1681681
F2S4_160120_017_F01,1659085
F2S4_160120_017_G01,1400889
F2S4_160120_017_H01,1719955
F2S4_160120_018_A01,1278191
F2S4_160120_018_B01,1875123
F2S4_160120_018_C01,1379494
F2S4_160120_018_D01,1673747
F2S4_160120_018_E01,1500533
F2S4_160120_018_F01,1576211
F2S4_160120_018_G01,1912248
F2S4_160120_018_H01,1224035
F2S4_160113_025_A01,1576167
F2S4_160113_025_B01,1707476
F2S4_160113_025_C01,1581651
F2S4_160113_025_D01,1540236
F2S4_160113_025_E01,1797099
F2S4_160113_025_F01,1645389
F2S4_160113_025_G01,1619953
F2S4_160113_025_H01,1647909
F2S4_160115_022_A01,1162893
F2S4_160115_022_B01,1171865
F2S4_160115_022_C01,1268766
F2S4_160115_022_D01,1474027
F2S4_160115_022_E01,1518154
F2S4_160115_022_F01,1301598
F2S4_160115_022_G01,1315850
F2S4_160115_022_H01,1258473
F2S4_160115_023_A01,1356112
F2S4_160115_023_B01,1241081
F2S4_160115_023_C01,1337882
F2S4_160115_023_D01,1227110
F2S4_160115_023_E01,1551289
F2S4_160115_023_F01,1185700
F2S4_160115_023_G01,1315294
F2S4_160115_023_H01,1216565
F2S4_160120_003_A01,1141246
F2S4_160120_003_B01,1175094
F2S4_160120_003_C01,1270332
F2S4_160120_003_D01,1342020
F2S4_160120_003_E01,1461346
F2S4_160120_003_F01,1226806
F2S4_160120_003_G01,1229066
F2S4_160120_003_H01,1232343
F2S4_160120_004_A01,1280449
F2S4_160120_004_B01,1238317
F2S4_160120_004_C01,1351953
F2S4_160120_004_D01,1377285
F2S4_160120_004_E01,683223
F2S4_160120_004_F01,1192230
F2S4_160120_004_G01,1379094
F2S4_160120_004_H01,1278112
F2S4_160120_008_A01,1124354
F2S4_160120_008_B01,1259699
F2S4_160120_008_C01,817126
F2S4_160120_008_D01,1001371
F2S4_160120_008_E01,1135217
F2S4_160120_008_G01,986347
F2S4_160120_008_H01,996536
F2S4_160120_009_A01,1347156
F2S4_160120_009_B01,873833
F2S4_160120_009_C01,1263240
F2S4_160120_009_D01,1222618
F2S4_160120_009_E01,1094332
F2S4_160120_009_F01,1089250
F2S4_160120_009_G01,825408
F2S4_160120_009_H01,373595
F2S4_160120_013_A01,1466013
F2S4_160120_013_B01,1171217
F2S4_160120_013_C01,1984970
F2S4_160120_013_D01,1402929
F2S4_160120_013_E01,1291494
F2S4_160120_013_F01,1228609
F2S4_160120_013_G01,1345452
F2S4_160120_013_H01,978784
F2S4_160120_014_A01,1333460
F2S4_160120_014_B01,1168188
F2S4_160120_014_C01,1125575
F2S4_160120_014_D01,1337787
F2S4_160120_014_E01,1235776
F2S4_160120_014_F01,1321624
F2S4_160120_014_G01,1268297
F2S4_160120_014_H01,1293535
F2S4_160120_019_A01,1318948
F2S4_160120_019_B01,1635370
F2S4_160120_019_C01,1439276
F2S4_160120_019_D01,1481916
F2S4_160120_019_E01,1509436
F2S4_160120_019_F01,1617943
F2S4_160120_019_G01,1279878
F2S4_160120_019_H01,1894132
F2S4_160120_020_A01,1535424
F2S4_160120_020_B01,1435890
F2S4_160120_020_C01,1296718
F2S4_160120_020_D01,1384954
F2S4_160120_020_E01,1411639
F2S4_160120_020_F01,1569772
F2S4_160120_020_G01,1543665
F2S4_160120_020_H01,1367418
F2S4_160113_026_A01,1497389
F2S4_160113_026_B01,1482158
F2S4_160113_026_C01,1198349
F2S4_160113_026_D01,1578160
F2S4_160113_026_E01,2017661
F2S4_160113_026_F01,1742827
F2S4_160113_026_G01,1499634
F2S4_160113_026_H01,1411248
F1S4_160108_003_A01,1712332
F1S4_160108_003_B01,1629647
F1S4_160108_003_C01,1612233
F1S4_160108_003_D01,1892310
F1S4_160108_003_E01,1933502
F1S4_160108_003_F01,1533411
F1S4_160108_003_G01,1875879
F1S4_160108_003_H01,1455152
F1S4_160108_004_A01,1947801
F1S4_160108_004_B01,2070431
F1S4_160108_004_C01,1384043
F1S4_160108_004_D01,1397830
F1S4_160108_004_E01,1701139
F1S4_160108_004_F01,1342444
F1S4_160108_004_G01,1658957
F1S4_160108_004_H01,1600441
F1S4_160108_005_A01,2015992
F1S4_160108_005_B01,2039790
F1S4_160108_005_C01,1619949
F1S4_160108_005_D01,1744273
